ID,SPID,First_Name,Last_Name,Address,City,State / County / Province,Zip / Post Postal,Country,Phone1,Phone2,email,TimeZone,Languages,Profession,Specialisation,DegreeLevel,Degree,Institution,YearsOfExperience,BankName,BankAccountNumber,BankSWIFTCode,NumberOfTimesListed,TimesConnectedConnected,AmountEarned
1,SP00000001,James,Butt,6649 N Blue Gum St,New Orleans,LA,70116,USA,504-621-8927,504-845-1427,jbutt@gmail.com,GMT-6,3,P0001,P0001S0004,DL0003,D0258,INST00371,YOE02,,,,,,
2,SP00000002,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,MI,48116,USA,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,GMT-5,4,P0004,P0004S0048,DL0003,D0290,INST00195,YOE05,,,,,,
3,SP00000003,Art,Venere,8 W Cerritos Ave #54,Bridgeport,NJ,08014,USA,856-636-8749,856-264-4130,art@venere.org,GMT-5,4,P0002,P0002S0017,DL0001,D0068,INST00139,YOE02,,,,,,
4,SP00000004,Lenna,Paprocki,639 Main St,Anchorage,AK,99501,USA,907-385-4412,907-921-2010,lpaprocki@hotmail.com,GMT-9,"2,1",P0002,P0002S0013,DL0003,D0253,INST00205,YOE04,,,,,,
5,SP00000005,Donette,Foller,34 Center St,Hamilton,OH,45011,USA,513-570-1893,513-549-4561,donette.foller@cox.net,GMT-5,3,P0001,P0001S0004,DL0001,D0044,INST00301,YOE04,,,,,,
6,SP00000006,Simona,Morasca,3 Mcauley Dr,Ashland,OH,44805,USA,419-503-2484,419-800-6759,simona@morasca.com,GMT-5,2,P0004,P0004S0052,DL0001,D0016,INST00446,YOE04,,,,,,
7,SP00000007,Mitsue,Tollner,7 Eads St,Chicago,IL,60632,USA,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,GMT-6,5,P0003,P0003S0042,DL0002,D0099,INST00403,YOE06,,,,,,
8,SP00000008,Leota,Dilliard,7 W Jackson Blvd,San Jose,CA,95111,USA,408-752-3500,408-813-1105,leota@hotmail.com,GMT-8,9,P0004,P0004S0047,DL0001,D0030,INST00163,YOE06,,,,,,
9,SP00000009,Sage,Wieser,5 Boston Ave #88,Sioux Falls,SD,57105,USA,605-414-2147,605-794-4895,sage_wieser@cox.net,GMT-6,"5,8",P0004,P0004S0052,DL0002,D0146,INST00471,YOE04,,,,,,
10,SP00000010,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,MD,21224,USA,410-655-8723,410-804-4694,kris@gmail.com,GMT-5,3,P0001,P0001S0004,DL0002,D0147,INST00146,YOE04,,,,,,
11,SP00000011,Minna,Amigon,2371 Jerrold Ave,Kulpsville,PA,19443,USA,215-874-1229,215-422-8694,minna_amigon@yahoo.com,GMT-5,6,P0002,P0002S0012,DL0001,D0036,INST00413,YOE02,,,,,,
12,SP00000012,Abel,Maclead,37275 St  Rt 17m M,Middle Island,NY,11953,USA,631-335-3414,631-677-3675,amaclead@gmail.com,GMT-5,8,P0001,P0001S0003,DL0001,D0063,INST00372,YOE04,,,,,,
13,SP00000013,Kiley,Caldarera,25 E 75th St #69,Los Angeles,CA,90034,USA,310-498-5651,310-254-3084,kiley.caldarera@aol.com,GMT-8,6,P0002,P0002S0013,DL0002,D0071,INST00391,YOE03,,,,,,
14,SP00000014,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,USA,440-780-8425,440-579-7763,gruta@cox.net,GMT-5,"8,1",P0001,P0001S0004,DL0001,D0017,INST00315,YOE05,,,,,,
15,SP00000015,Cammy,Albares,56 E Morehead St,Laredo,TX,78045,USA,956-537-6195,956-841-7216,calbares@gmail.com,GMT-6,6,P0002,P0002S0016,DL0003,D0268,INST00225,YOE04,,,,,,
16,SP00000016,Mattie,Poquette,73 State Road 434 E,Phoenix,AZ,85013,USA,602-277-4385,602-953-6360,mattie@aol.com,GMT-7,9,P0004,P0004S0050,DL0002,D0129,INST00045,YOE01,,,,,,
17,SP00000017,Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,TN,37110,USA,931-313-9635,931-235-7959,meaghan@hotmail.com,GMT-5,9,P0004,P0004S0047,DL0003,D0232,INST00185,YOE02,,,,,,
18,SP00000018,Gladys,Rim,322 New Horizon Blvd,Milwaukee,WI,53207,USA,414-661-9598,414-377-2880,gladys.rim@rim.org,GMT-6,4,P0001,P0001S0008,DL0001,D0047,INST00334,YOE05,,,,,,
19,SP00000019,Yuki,Whobrey,1 State Route 27,Taylor,MI,48180,USA,313-288-7937,313-341-4470,yuki_whobrey@aol.com,GMT-5,"5,3",P0003,P0003S0037,DL0003,D0304,INST00186,YOE03,,,,,,
20,SP00000020,Fletcher,Flosi,394 Manchester Blvd,Rockford,IL,61109,USA,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,GMT-6,7,P0004,P0004S0050,DL0003,D0221,INST00016,YOE03,,,,,,
21,SP00000021,Bette,Nicka,6 S 33rd St,Aston,PA,19014,USA,610-545-3615,610-492-4643,bette_nicka@cox.net,GMT-5,5,P0004,P0004S0049,DL0002,D0091,INST00139,YOE05,,,,,,
22,SP00000022,Veronika,Inouye,6 Greenleaf Ave,San Jose,CA,95111,USA,408-540-1785,408-813-4592,vinouye@aol.com,GMT-8,7,P0004,P0004S0050,DL0003,D0298,INST00402,YOE05,,,,,,
23,SP00000023,Willard,Kolmetz,618 W Yakima Ave,Irving,TX,75062,USA,972-303-9197,972-896-4882,willard@hotmail.com,GMT-6,6,P0003,P0003S0034,DL0002,D0092,INST00167,YOE05,,,,,,
24,SP00000024,Maryann,Royster,74 S Westgate St,Albany,NY,12204,USA,518-966-7987,518-448-8982,mroyster@royster.com,GMT-5,"6,10",P0001,P0001S0005,DL0001,D0058,INST00475,YOE04,,,,,,
25,SP00000025,Alisha,Slusarski,3273 State St,Middlesex,NJ,08846,USA,732-658-3154,732-635-3453,alisha@slusarski.com,GMT-5,8,P0003,P0003S0025,DL0002,D0157,INST00132,YOE01,,,,,,
26,SP00000026,Allene,Iturbide,1 Central Ave,Stevens Point,WI,54481,USA,715-662-6764,715-530-9863,allene_iturbide@cox.net,GMT-6,4,P0002,P0002S0016,DL0004,D0325,INST00459,YOE06,,,,,,
27,SP00000027,Chanel,Caudy,86 Nw 66th St #8673,Shawnee,KS,66218,USA,913-388-2079,913-899-1103,chanel.caudy@caudy.org,GMT-6,5,P0001,P0001S0007,DL0004,D0339,INST00259,YOE03,,,,,,
28,SP00000028,Ezekiel,Chui,2 Cedar Ave #84,Easton,MD,21601,USA,410-669-1642,410-235-8738,ezekiel@chui.com,GMT-5,5,P0002,P0002S0011,DL0002,D0075,INST00366,YOE04,,,,,,
29,SP00000029,Willow,Kusko,90991 Thorburn Ave,New York,NY,10011,USA,212-582-4976,212-934-5167,wkusko@yahoo.com,GMT-5,"2,7",P0004,P0004S0047,DL0003,D0287,INST00281,YOE01,,,,,,
30,SP00000030,Bernardo,Figeroa,386 9th Ave N,Conroe,TX,77301,USA,936-336-3951,936-597-3614,bfigeroa@aol.com,GMT-6,4,P0001,P0001S0005,DL0003,D0270,INST00182,YOE06,,,,,,
31,SP00000031,Ammie,Corrio,74874 Atlantic Ave,Columbus,OH,43215,USA,614-801-9788,614-648-3265,ammie@corrio.com,GMT-5,8,P0002,P0002S0012,DL0001,D0040,INST00187,YOE01,,,,,,
32,SP00000032,Francine,Vocelka,366 South Dr,Las Cruces,NM,88011,USA,505-977-3911,505-335-5293,francine_vocelka@vocelka.com,GMT-7,8,P0003,P0003S0026,DL0004,D0336,INST00414,YOE03,,,,,,
33,SP00000033,Ernie,Stenseth,45 E Liberty St,Ridgefield Park,NJ,07660,USA,201-709-6245,201-387-9093,ernie_stenseth@aol.com,GMT-5,3,P0004,P0004S0047,DL0002,D0168,INST00482,YOE06,,,,,,
34,SP00000034,Albina,Glick,4 Ralph Ct,Dunellen,NJ,08812,USA,732-924-7882,732-782-6701,albina@glick.com,GMT-5,"8,1",P0004,P0004S0049,DL0001,D0037,INST00188,YOE06,,,,,,
35,SP00000035,Alishia,Sergi,2742 Distribution Way,New York,NY,10025,USA,212-860-1579,212-753-2740,asergi@gmail.com,GMT-5,5,P0001,P0001S0006,DL0002,D0120,INST00280,YOE01,,,,,,
